Address,Bedroom_Number,Price,Distance
"15 Bigelow St, Cambridge, MA",1,2250.0,1.0851982007070726
"24 Concord Ave, Cambridge, MA",1,1700.0,0.7762258678696884
"24 Concord Ave, Cambridge, MA",1,2300.0,0.7762258678696884
"8 Museum Way, Cambridge, MA",1,2399.0,2.7978431823308596
"9 Bowdoin St, Cambridge, MA",1,2100.0,3.1864413316215567
"9 Bowdoin St, Cambridge, MA",3,1266.6666666666667,3.1864413316215567
"8 Museum Way, Cambridge, MA",1,2399.0,2.7978431823308596
"7 George St, Cambridge, MA 02140",2,1800.0,2.013402196284459
"24 Concord Ave, Cambridge, MA",1,1700.0,0.7762258678696884
"24 Concord Ave, Cambridge, MA",1,2300.0,0.7762258678696884
"112 Gore St, Cambridge, MA",2,1700.0,2.2670736722959823
"36 Highland Ave, Cambridge, MA",1,1600.0,1.130758891156755
"36 Highland Ave, Cambridge, MA",1,2300.0,1.130758891156755
"10 Shepard St, Cambridge, MA",1,1850.0,0.9835079311464578
"10 Shepard St, Cambridge, MA",3,800.0,0.9835079311464578
"23 Reed St, Cambridge, MA 02140",4,850.0,1.8338797388202863
"Clifton St, Cambridge, MA 02140",5,725.0,1.9750357719387281
"31 Concord Ave, Cambridge, MA",1,2400.0,0.8269530927066581
"950 Massachusetts Ave, Cambridge, MA",1,2100.0,0.8685694091794388
"950 Massachusetts Ave, Cambridge, MA",1,2300.0,0.8685694091794388
"950 Massachusetts Ave, Cambridge, MA",2,1300.0,0.8685694091794388
"Bristol St, Cambridge, MA 02141",3,950.0,1.7734788292806172
"Concord Ave, Cambridge, MA 02138",4,1100.0,2.302759061043744
"Tufts St, Cambridge, MA 02139",3,1200.0,1.0127104269279128
"Massachusetts Ave, Cambridge, MA 02139",2,1025.0,1.2875359039375198
"Meacham Rd, Cambridge, MA 02140",3,1600.0,1.8747879527680824
"32 Magazine St, Cambridge, MA 02139",1,1700.0,1.0934759370320488
"114 Western Ave FRONT 3, Cambridge, MA 02139",1,1800.0,0.3428763820445444
"174 Cushing St, Cambridge, MA",3,983.3333333333334,1.551642847617757
"16 Chauncy St, Cambridge, MA",1,1650.0,0.8055622435663313
