Addresses,Prices
"9 Bigelow St APT 3B, Cambridge, MA 02139","$4,800/mo
1 bd1 ba-- sqft"
"848 Massachusetts Ave APT 9, Cambridge, MA 02139","$2,100/mo
1 bd1 ba700 sqft"
"80 Allston St #2, Cambridge, MA 02139","$3,600/mo
2 bds1.5 ba840 sqft"
"Marney St, Cambridge, MA 02141","$3,000/mo
4 bds1 ba1,100 sqft"
"10 Bristol St, Cambridge, MA","$2,500 2 bds$2,500 3 bds"
"103 Larch Rd #103, Cambridge, MA 02138","$3,500/mo
4 bds2 ba1,300 sqft"
"336 Harvard St #4, Cambridge, MA 02139","$3,850/mo
2 bds1.5 ba1,000 sqft"
"8 Austin Park #1, Cambridge, MA 02139","$2,200/mo
2 bds1 ba1,191 sqft"
"10 Rogers St, Cambridge, MA","$2,200+ Studio$2,595+ 1 bd$3,700+ 2 bds"
"45 Reed St #1, Cambridge, MA 02140","$3,800/mo
3 bds2.5 ba1,743 sqft"
"275 Walden St, Cambridge, MA","$2,700+ 2 bds"
"397 Columbia St, Cambridge, MA","$2,400+ 2 bds"
"102 Pearl St APT 3, Cambridge, MA 02139","$1,900/mo
1 bd1 ba584 sqft"
"27 Saint Sauveur Ct #27, Cambridge, MA 02138","$4,200/mo
3 bds3.5 ba1,939 sqft"
"1691 Cambridge St APT 11, Cambridge, MA 02138","$1,995/mo
1 bd1 ba550 sqft"
"170 Pearl St #0, Cambridge, MA 02139","$3,550/mo
3 bds2 ba1,200 sqft"
"8 Lawrence St #B, Cambridge, MA 02139","$1,450/mo
1 bd1 ba500 sqft"
"24 Rindgefield St #2, Cambridge, MA 02140","$2,500/mo
2 bds1 ba988 sqft"
"105 Brookline St, Cambridge, MA 02139","$1,850/mo
1 bd1 ba1,288 sqft"
"Park St, Somerville, MA 02143","$2,200/mo
2 bds1 ba9,999 sqft"
"Putnam Ave, Cambridge, MA 02139","$2,500/mo
3 bds1 ba-- sqft"
"401 Broadway, Cambridge, MA 02139","$1,795/mo
1 bd1 ba-- sqft"
"10 King Pl, Cambridge, MA","$2,000 Studio$2,600+ 1 bd$3,400 2 bds"
"80 Hampshire St APT 4A, Cambridge, MA 02139","$1,600/mo
1 bd1 ba700 sqft"
"16 Trowbridge St APT 47, Cambridge, MA 02138","$2,300/mo
2 bds1.5 ba875 sqft"
"Cogswell Ave, Cambridge, MA 02140","$1,850/mo
1 bd1 ba520 sqft"
"Windsor at Cambridge Park | 160 Cambridgepark Dr, Cambridge, MA","$2,410+ 1 bd$2,785+ 2 bds"
"CHR Cambridge Apartments | Langdon St, Cambridge, MA","$1,995+ Studio$2,195+ 1 bd$2,860+ 2 bds"
"Chauncy Court Apartments | 18-26 Chauncy St, Cambridge, MA","$2,045+ Studio$2,195+ 1 bd$3,195 2 bds"
"30 Langdon St, Cambridge, MA","$1,700+ Studio$1,900+ 1 bd"
"75 Ames St, Cambridge, MA","$2,890+ Studio$3,790+ 1 bd$4,690 2 bds"
"21 Chester St, Cambridge, MA 02140","$1,330/mo
Studio1 ba-- sqft"
"12 Humboldt St #3, Cambridge, MA 02140","$2,800/mo
1 bd1 ba835 sqft"
"1194 Massachusetts Ave, Cambridge, MA 02138","$1,415/mo
1 bd1 ba-- sqft"
"1196 Massachusetts Ave, Cambridge, MA 02138","$1,250/mo
Studio1 ba-- sqft"
"1190 Massachusetts Ave, Cambridge, MA 02138","$1,250/mo
Studio1 ba300 sqft"
"5 Linnaean St, Cambridge, MA","$2,200 1 bd$2,500+ 2 bds"
"1558 Massachusetts Ave, Cambridge, MA","$2,800+ 2 bds"
"4 Eaton St, Cambridge, MA","$2,800 2 bds$3,600 4 bds"
"122 Berkshire St #5, Cambridge, MA 02141","$2,700/mo
3 bds1 ba850 sqft"
"Prescott St, Cambridge, MA 02138","$2,900/mo
2 bds1 ba1,100 sqft"
"Brookline St, Cambridge, MA 02139","$2,500/mo
3 bds1 ba-- sqft"
"513 Putnam Ave #B, Cambridge, MA 02139","$5,200/mo
4 bds1.5 ba1,450 sqft"
"49 Sacramento St #1A, Cambridge, MA 02138","$2,000/mo
1 bd1 ba800 sqft"
"872 Mass Ave, Cambridge, MA","$2,250 Studio$2,300+ 1 bd$2,700+ 2 bds"
"Rindge Ave, Cambridge, MA 02140","$3,200/mo
3 bds2 ba-- sqft"
"278 Harvard St APT 9, Cambridge, MA 02139","$2,100/mo
2 bds2 ba-- sqft"
"95 Hampshire St APT 2, Cambridge, MA 02139","$1,950/mo
2 bds1 ba1,000 sqft"
"(undisclosed Address), Cambridge, MA 02139","$2,200/mo
1 bd1 ba-- sqft"
"Massachusetts Ave, Cambridge, MA 02139","$2,100/mo
1 bd1 ba600 sqft"
"Brattle Arms Apartments | 60 Brattle St, Cambridge, MA","$2,675+ 1 bd$3,050+ 2 bds"
"40 Harvey St, Cambridge, MA 02140","$1,375/mo
Studio1 ba300 sqft"
"15 Bigelow St, Cambridge, MA","$2,250+ 1 bd"
"17 Standish St #3, Cambridge, MA 02138","$3,900/mo
3 bds2 ba1,100 sqft"
"24 Concord Ave, Cambridge, MA","$1,700 Studio$2,300 1 bd"
"52 Irving St UNIT 8, Cambridge, MA 02138","$1,800/mo
1 bd1 ba200 sqft"
"50 Irving St #8, Cambridge, MA 02138","$1,800/mo
1 bd1 ba200 sqft"
"75 Plymouth St #75, Cambridge, MA 02141","$2,700/mo
2 bds1 ba1,002 sqft"
"8 Museum Way, Cambridge, MA","$2,399+ 1 bd"
"9 Bowdoin St, Cambridge, MA","$2,100 1 bd$3,800 3 bds"
"241 River St UNIT 8, Cambridge, MA 02139","$1,800/mo
1 bd1 ba430 sqft"
"8 Museum Way, Cambridge, MA","$2,399+ 1 bd"
"7 George St, Cambridge, MA 02140","$3,600/mo
2 bds2 ba1,302 sqft"
"50 Irving St #8, Cambridge, MA 02138","$1,800/mo
1 bd1 ba200 sqft"
"24 Concord Ave, Cambridge, MA","$1,700 Studio$2,300 1 bd"
"22 Creighton St APT 2, Cambridge, MA 02140","$2,500/mo
2 bds1 ba-- sqft"
"112 Gore St, Cambridge, MA","$3,400+ 2 bds"
"17 Farwell Pl #2, Cambridge, MA 02138","$2,300/mo
1 bd1 ba700 sqft"
"36 Highland Ave, Cambridge, MA","$1,600 Studio$2,300 1 bd"
"10 Shepard St, Cambridge, MA","$1,850 1 bd$2,400 3 bds"
"200 Norfolk St #1, Cambridge, MA 02139","$2,150/mo
1 bd1 ba1,000 sqft"
"397 1/2 Columbia St #2, Cambridge, MA 02141","$2,400/mo
2 bds1 ba-- sqft"
"23 Reed St, Cambridge, MA 02140","$3,400/mo
4 bds1.5 ba1,600 sqft"
"366 Windsor St #1, Cambridge, MA 02141","$2,000/mo
1 bd1 ba950 sqft"
"2512 Massachusetts Ave APT 2, Cambridge, MA 02140","$1,750/mo
1 bd1 ba402 sqft"
"Clifton St, Cambridge, MA 02140","$3,625/mo
5 bds2 ba1,828 sqft"
"31 Concord Ave, Cambridge, MA","$2,400+ 1 bd"
"56 Kirkland St APT 1, Cambridge, MA 02138","$2,500/mo
1 bd1 ba900 sqft"
"950 Massachusetts Ave, Cambridge, MA","$2,100 Studio$2,300+ 1 bd$2,600+ 2 bds"
"Bristol St, Cambridge, MA 02141","$2,850/mo
3 bds1 ba900 sqft"
"Concord Ave, Cambridge, MA 02138","$4,400/mo
4 bds2 ba1,300 sqft"
"Tufts St, Cambridge, MA 02139","$3,600/mo
3 bds2 ba1,079 sqft"
"Massachusetts Ave, Cambridge, MA 02139","$2,050/mo
2 bds1 ba-- sqft"
"Meacham Rd, Cambridge, MA 02140","$4,800/mo
3 bds2.5 ba2,200 sqft"
"32 Magazine St, Cambridge, MA 02139","$1,700/mo
1 bd1 ba625 sqft"
"114 Western Ave FRONT 3, Cambridge, MA 02139","$1,800/mo
1 bd1 ba650 sqft"
"174 Cushing St, Cambridge, MA","$2,950+ 3 bds"
"16 Chauncy St, Cambridge, MA","$1,650+ Studio"
"268 Windsor St APT 4, Cambridge, MA 02139","$2,500/mo
1 bd1 ba645 sqft"
"3 Arlington St, Cambridge, MA","$2,100+ 1 bd"
"12 Seven Pines Ave #0, Cambridge, MA 02140","$5,500/mo
5 bds2 ba1,900 sqft"
"33 Putnam Ave #A, Cambridge, MA 02139","$3,800/mo
4 bds2 ba1,350 sqft"
"42 Jefferson St #3, Cambridge, MA 02141","$2,700/mo
3 bds1 ba798 sqft"
"11 Pine St, Cambridge, MA","$1,900+ 2 bds"
"Chroma | 240 Sidney St, Cambridge, MA","$2,578+ Studio$2,763+ 1 bd$3,793+ 2 bds"
"Broadway, Cambridge, MA 02138","$2,500/mo
2 bds1 ba-- sqft"
"32 High St #1, Cambridge, MA 02138","$2,650/mo
2 bds1 ba1,200 sqft"
"179 Rindge Ave UNIT 2, Cambridge, MA 02140","$2,950/mo
2 bds1 ba920 sqft"
"262 Monsignor Obrien Hwy, Cambridge, MA","$2,600 1 bd$2,800+ 2 bds"
"50 John F Kennedy St, Cambridge, MA","$2,000 Studio$2,000 1 bd"
"50 John F Kennedy St #3, Cambridge, MA 02138","$2,000/mo
Studio1 ba500 sqft"
"83 Orchard St #3, Cambridge, MA 02140","$1,900/mo
1 bd1 ba700 sqft"
"334 Harvard Street | 334 Harvard St, Cambridge, MA","$2,485+ 1 bd"
"2 Athens St, Cambridge, MA 02138","$4,900/mo
3 bds2 ba1,334 sqft"
"69 Orchard St #2, Cambridge, MA 02140","$6,000/mo
4 bds2 ba3,000 sqft"
"2440 Massachusetts Ave, Cambridge, MA","$1,995 1 bd$2,700 2 bds"
"258 Prospect St APT 3L, Cambridge, MA 02139","$3,500/mo
4 bds1 ba1,200 sqft"
"29 Maple Ave #3, Cambridge, MA 02139","$2,000/mo
1 bd1 ba750 sqft"
"1650 Massachusetts Ave #32, Cambridge, MA 02138","$1,895/mo
1 bd1 ba500 sqft"
"50 Highland Ave #2, Somerville, MA 02143","$1,450/mo
Studio1 ba250 sqft"
"Hanover Alewife | 130 Cambridgepark Dr, Cambridge, MA","$2,102+ Studio$2,057+ 1 bd$2,593+ 2 bds"
"51 Dana St #1, Cambridge, MA 02138","$2,200/mo
2 bds1 ba1,200 sqft"
"24 Langdon St #2, Cambridge, MA 02138","$7,500/mo
4 bds3 ba2,919 sqft"
"Park87 | 87 New St, Cambridge, MA","$2,475+ 1 bd$2,796+ 2 bds$4,000+ 3 bds"
"Cambridge St, Cambridge, MA 02138","$2,100/mo
1 bd1 ba620 sqft"
"10 Sumner Rd APT 2, Cambridge, MA 02138","$2,000/mo
1 bd1 ba350 sqft"
